Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Food Waste Sector,Units,2016,2017,2018,point,lat,lng
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),4,Afghanistan,HHS,KG,,,,81.73,33.93911,67.709953
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),4,Afghanistan,OOHC,KG,,,,27.64811,33.93911,67.709953
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),4,Afghanistan,RTL,KG,,,,15.64025,33.93911,67.709953
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),8,Albania,HHS,KG,,,,82.7834,41.153332,20.168331
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),8,Albania,OOHC,KG,,,,27.64795,41.153332,20.168331
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),8,Albania,RTL,KG,,,,15.64016,41.153332,20.168331
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),12,Algeria,HHS,KG,,,,91.01628,28.033886,1.659626
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),12,Algeria,OOHC,KG,,,,27.6481,28.033886,1.659626
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),12,Algeria,RTL,KG,,,,15.64025,28.033886,1.659626
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),16,American Samoa,HHS,KG,,,,75.69669,-14.270972,-170.132217
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),16,American Samoa,OOHC,KG,,,,27.64208,-14.270972,-170.132217
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),16,American Samoa,RTL,KG,,,,15.63684,-14.270972,-170.132217
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),20,Andorra,HHS,KG,,,,84.22213,42.546245,1.601554
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),20,Andorra,OOHC,KG,,,,25.55517,42.546245,1.601554
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),20,Andorra,RTL,KG,,,,12.80367,42.546245,1.601554
